"StationNum","NameNom","Status","Etat","ProvTerr","geometry"
"07AA001","MIETTE RIVER NEAR JASPER","active","en service","AB","0101000020E610000054856A0FDE865DC06005B106906E4A40"
"07AA002","ATHABASCA RIVER NEAR JASPER","active","en service","AB","0101000020E61000001C0C9407BC835DC00048F3457A744A40"
"07AA003","ROCKY RIVER AT HAWES","discontinued","fermée","AB","0101000020E61000008CBED25F647D5DC0D09FEE1837934A40"
"07AA004","MALIGNE RIVER NEAR JASPER","discontinued","fermée","AB","0101000020E6100000C06E161CB2815DC0B8C952131E774A40"
"07AA007","SUNWAPTA RIVER AT ATHABASCA GLACIER","active","en service","AB","0101000020E610000078E1E593004F5DC0002B2CDCDA1B4A40"
"07AA008","FIDDLE RIVER AT HIGHWAY NO. 16","discontinued","fermée","AB","0101000020E610000084A2AD243E765DC028C92DD3C89A4A40"
"07AA009","WHIRLPOOL RIVER NEAR THE MOUTH","discontinued","fermée","AB","0101000020E610000020691569397B5DC0F06E9826C55C4A40"
"07AA010","FIDDLE RIVER ABOVE MORRIS CREEK","discontinued","fermée","AB","0101000020E610000048163BF734755DC0209177A6B6964A40"
"07AB002","SNAKE INDIAN RIVER NEAR THE MOUTH","discontinued","fermée","AB","0101000020E6100000A01E4FA71E825DC080D2BBAE0F944A40"
"07AC001","WILDHAY RIVER NEAR HINTON","active","en service","AB","0101000020E6100000F4BE41B29F7C5DC0783A392506C34A40"
"07AC002","NORTH FOX CREEK NEAR MUSKEG","discontinued","fermée","AB","0101000020E6100000F443397412915DC0009FFB2FCFDB4A40"
"07AC003","EAST CABIN CREEK NEAR MUSKEG","discontinued","fermée","AB","0101000020E6100000987C91B467975DC0501B3E06EAE14A40"
"07AC004","HENDRICKSON CREEK NEAR THE MOUTH","discontinued","fermée","AB","0101000020E6100000408257EF8E975DC080E287AB5FE34A40"
"07AC005","VOGEL CREEK NEAR THE MOUTH","discontinued","fermée","AB","0101000020E61000005878C708F39C5DC0881DAB970EE44A40"
"07AC006","HINTON STUDY BASIN NO.14","discontinued","fermée","AB","0101000020E610000080132211F5915DC0203893952FDA4A40"
"07AC007","BERLAND RIVER NEAR THE MOUTH","active","en service","AB","0101000020E610000074208DDEAB3D5DC018F317C5DB014B40"
"07AC008","LITTLE BERLAND RIVER AT HIGHWAY NO. 40","active","en service","AB","0101000020E6100000F470EF12708F5DC0601DE725C8D64A40"
"07AD001","ATHABASCA RIVER AT ENTRANCE","discontinued","fermée","AB","0101000020E6100000ACF236F1A36C5DC0209681464FB04A40"
